filepath,D_IMRANG,RET-ANG1,RET-POS1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170916_cube.fits,94.99982,0.0,0.0,70028344.97689915,-67160064.94430637,68594204.96060276,1434140.0162963867,8368.294030260837,8368.294030260837,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170920_cube.fits,94.99975,45.0,45.0,64065366.74030808,57930408.609837264,3067479.065235406,60997887.67507267,8004.084378634952,8004.084378634952,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170917_cube.fits,94.99979,11.25,0.0,69687077.51479071,-59804099.15034944,64745588.33257008,4941489.182220638,8347.878623625928,8347.878623625928,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170921_cube.fits,94.99979,56.25,45.0,64587604.39504206,50153591.84135854,7217006.27684176,57370598.1182003,8036.641362848168,8036.641362848168,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170918_cube.fits,94.99975,22.5,11.25,67953937.93491459,-19950965.56867695,43952451.75179577,24001486.18311882,8243.417855168727,8243.417855168727,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170922_cube.fits,94.99979,67.5,56.25,66658016.921381,10041817.336345673,28308099.792517666,38349917.128863335,8164.4361055360705,8164.4361055360705,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170919_cube.fits,94.99975,33.75,33.75,65580317.07504058,28666715.68360734,18456800.69571662,47123516.37932396,8098.167513397125,8098.167513397125,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170923_cube.fits,94.99979,78.75,78.75,69011425.42111826,-38587706.52540541,53799565.97326183,15211859.447856426,8307.31156398496,8307.31156398496,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170925_cube.fits,107.49968,0.0,0.0,70066367.92746639,-50520087.72951794,60293227.828492165,9773140.098974228,8370.565567956946,8370.565567956946,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170929_cube.fits,107.49968,45.0,45.0,65443585.3098042,37147174.00418162,14148205.652811289,51295379.65699291,8089.720966127584,8089.720966127584,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170926_cube.fits,107.49968,11.25,11.25,70125226.85050994,-59983302.56567544,65054264.70809269,5070962.142417252,8374.080657033937,8374.080657033937,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170930_cube.fits,107.49968,56.25,45.0,65222012.20635295,44772044.90072751,10224983.65281272,54997028.55354023,8076.01462395611,8076.01462395611,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170927_cube.fits,107.49968,22.5,11.25,68953905.11896467,-37318851.42631197,53136378.27263832,15817526.846326351,8303.848813590279,8303.848813590279,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170931_cube.fits,107.49968,67.5,56.25,66602168.13263345,21286474.072150946,22657847.03024125,43944321.1023922,8161.015141061402,8161.015141061402,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170928_cube.fits,107.49968,33.75,22.5,67001288.90001011,3063571.4949626923,31968858.70252371,35032430.1974864,8185.431503592838,8185.431503592838,1685.9701
