,path,D_IMRANG,FILTER01,OBS-MOD,RET-POS1,U_FLC,GAIN,EXPTIME,diff,diff_std,sum,sum_std
472,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:39.011208.cam1.B_collapsed_diff.fits,57.5,750-50,IPOL,22.5,B,0.105,0.0471744,-10281,349.72217,15057,527.6478
436,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:48:38.695960.cam1.B_collapsed_diff.fits,57.5,775-50,IPOL,22.5,B,0.105,0.0471744,-6381,237.7893,8169.5,306.79718
504,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:34:51.837878.cam1.B_collapsed_diff.fits,57.5,Open,IPOL_MBI,22.5,B,0.105,0.0962496,[-18755.5 -23641.   -9776.   -2583.5],[604.46933425 597.87066478 274.93446502 121.81292752],[22276.  29681.5 13947.5  3803. ],[797.94510901 852.7448455  367.69941295 128.48515138]
360,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:39.964200.cam1.A_collapsed_diff.fits,70,Open,IPOL,22.5,A,0.105,0.0471744,26741,1011.6576,33839,1167.6584
1,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:08.491704.cam1.A_collapsed_diff.fits,70,625-50,IPOL,22.5,A,0.105,0.0471744,-192,69.653534,1747,80.73529
1119,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:14.291972.cam1.A_collapsed_diff.fits,70,675-50,IPOL,22.5,A,0.105,0.0471744,1824,144.88208,7248,277.061
549,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:10.388971.cam1.A_collapsed_diff.fits,70,725-50,IPOL,22.5,A,0.105,0.0471744,9535,404.20996,13775,454.8554
100,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:14.984888.cam1.A_collapsed_diff.fits,70,750-50,IPOL,22.5,A,0.105,0.0471744,11382,429.38937,15290,538.1115
144,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:49:03.198045.cam1.A_collapsed_diff.fits,70,775-50,IPOL,22.5,A,0.105,0.0471744,6794,271.55466,8696,330.8002
946,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:35:21.055729.cam1.A_collapsed_diff.fits,70,Open,IPOL_MBI,22.5,A,0.105,0.0962496,[20285.  22278.   9101.   2284.5],[711.51470356 537.46221979 305.62435473 111.620787  ],[24323. 28083. 13241.  3515.],[799.67213536 613.95591963 310.39293179 111.46541327]
323,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:39.964200.cam1.B_collapsed_diff.fits,70,Open,IPOL,22.5,B,0.105,0.0471744,-33578,1253.7627,35614,1245.0006
96,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:08.491704.cam1.B_collapsed_diff.fits,70,625-50,IPOL,22.5,B,0.105,0.0471744,-419,102.83685,1755,81.84026
58,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:14.291972.cam1.B_collapsed_diff.fits,70,675-50,IPOL,22.5,B,0.105,0.0471744,-3867,242.74138,7652,286.821
959,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:10.388971.cam1.B_collapsed_diff.fits,70,725-50,IPOL,22.5,B,0.105,0.0471744,-13077,494.27618,14490,517.6117
261,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:14.984888.cam1.B_collapsed_diff.fits,70,750-50,IPOL,22.5,B,0.105,0.0471744,-15066,554.12854,15848,564.34094
73,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:49:03.198045.cam1.B_collapsed_diff.fits,70,775-50,IPOL,22.5,B,0.105,0.0471744,-8645,338.40567,8949,344.3993
583,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:35:21.055729.cam1.B_collapsed_diff.fits,70,Open,IPOL_MBI,22.5,B,0.105,0.0962496,[-22433. -28827. -12201.  -3141.],[851.14020956 991.17843722 413.77014245 134.45035134],[22960. 29929. 13999.  3835.],[846.98215022 906.94682136 416.28799809 138.34154948]
507,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:20:02.149403.cam1.A_collapsed_diff.fits,82.5,Open,IPOL,22.5,A,0.105,0.0471744,12708,767.7238,33380,1132.6868
59,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:26:31.075602.cam1.A_collapsed_diff.fits,82.5,625-50,IPOL,22.5,A,0.105,0.0471744,-581.5,116.49938,1766,80.238365
